r,g,b,color
0,114,73,green
0,15,17,black
0,104,55,green
0,117,36,green
0,241,142,green
165,110,0,brown
2,0,199,blue
38,251,0,green
165,53,0,orange
0,167,37,green
151,98,0,brown
0,237,142,green
0,54,123,blue
0,39,82,blue
74,0,139,purple
135,0,230,purple
0,202,86,green
147,91,0,brown
99,54,0,brown
220,210,0,yellow
0,11,108,blue
0,119,29,green
0,43,250,blue
0,40,162,blue
217,29,0,red
48,31,0,brown
130,0,240,purple
0,172,179,blue
185,0,88,pink
76,0,82,purple
224,0,53,red
229,166,0,orange
7,0,194,blue
25,0,232,blue
218,215,0,yellow
55,0,40,purple
0,154,209,blue
174,0,10,red
31,211,0,green
25,72,0,green
0,71,10,green
39,4,0,brown
225,0,105,pink
48,0,66,purple
243,80,0,orange
201,0,236,purple
0,151,251,blue
0,86,208,blue
0,76,4,green
21,80,0,green
188,53,0,orange
7,0,10,black
117,0,171,purple
103,62,0,brown
0,128,51,green
143,211,0,green
122,0,156,purple
185,0,183,purple
180,241,0,yellow
252,0,242,pink
241,128,0,orange
233,216,0,yellow
119,0,22,red
0,133,39,green
121,107,0,brown
77,0,223,blue
146,0,154,purple
19,0,250,blue
211,11,0,red
248,0,131,pink
38,145,0,green
49,5,0,brown
119,0,127,purple
247,0,175,pink
237,200,0,yellow
60,217,0,green
101,0,216,purple
132,0,130,purple
76,0,252,blue
26,0,204,blue
223,50,0,orange
3,112,0,green
113,0,170,purple
21,0,192,blue
182,0,51,red
170,0,70,pink
118,0,66,purple
204,196,0,yellow
0,109,44,green
42,0,65,purple
238,0,222,pink
46,0,228,blue
34,0,146,blue
113,167,0,green
0,45,181,blue
192,251,0,yellow
74,204,0,green
8,212,0,green
64,189,0,green
236,0,45,red
2,0,93,blue
0,22,127,blue
253,144,0,orange
134,0,124,purple
83,37,0,brown
0,239,119,green
134,0,179,purple
80,97,0,green
254,126,0,orange
214,119,0,orange
11,0,163,blue
9,0,17,black
0,73,56,green
0,204,108,green
0,37,177,blue
221,0,56,red
208,0,39,red
186,0,101,pink
171,0,152,purple
217,117,0,orange
83,0,163,purple
0,245,112,green
108,0,173,purple
0,10,24,black
241,0,37,red
122,155,0,green
192,217,0,yellow
191,178,0,yellow
102,0,50,purple
0,88,208,blue
116,141,0,green
0,84,237,blue
30,131,0,green
0,57,75,blue
0,48,97,blue
0,70,240,blue
24,153,0,green
97,0,185,purple
3,87,0,green
0,233,137,green
136,212,0,green
0,20,118,blue
19,121,0,green
80,0,145,purple
172,110,0,brown
6,178,0,green
0,152,35,green
173,45,0,red
163,191,0,green
0,0,156,blue
155,0,190,purple
127,0,21,red
206,208,0,yellow
29,173,0,green
0,152,14,green
0,115,153,blue
0,58,221,blue
0,33,141,blue
0,9,192,blue
95,150,0,green
215,0,49,red
60,0,180,blue
0,164,105,green
9,0,172,blue
0,254,83,green
141,0,184,purple
217,0,172,pink
184,0,7,red
0,45,197,blue
145,219,0,green
0,225,40,green
0,90,62,green
65,226,0,green
165,0,186,purple
0,51,116,blue
146,0,137,purple
31,0,138,blue
230,0,122,pink
129,31,0,brown
173,12,0,red
120,0,238,purple
0,116,177,blue
239,56,0,orange
176,0,202,purple
0,123,166,blue
